Distance,Species
8.5,Brown hyena
75,Brown hyena
274.4,Brown hyena
318.3,Brown hyena
318.7,Brown hyena
322,Brown hyena
322.2,Brown hyena
387.3,Brown hyena
388.4,Brown hyena
557.1,Brown hyena
566.9,Brown hyena
644.7,Brown hyena
0,Spotted hyena
3,Spotted hyena
4.6,Spotted hyena
7.5,Spotted hyena
16.4,Spotted hyena
19,Spotted hyena
39.2,Spotted hyena
42.4,Spotted hyena
59.8,Spotted hyena
61.2,Spotted hyena
67.8,Spotted hyena
71.1,Spotted hyena
78,Spotted hyena
80,Spotted hyena
82.4,Spotted hyena
82.4,Spotted hyena
82.4,Spotted hyena
84.1,Spotted hyena
92.1,Spotted hyena
101.3,Spotted hyena
107,Spotted hyena
125.2,Spotted hyena
125.2,Spotted hyena
131.9,Spotted hyena
140.2,Spotted hyena
176.8,Spotted hyena
177.8,Spotted hyena
181.1,Spotted hyena
182.9,Spotted hyena
186.8,Spotted hyena
206.4,Spotted hyena
208.5,Spotted hyena
210.1,Spotted hyena
211.7,Spotted hyena
215.5,Spotted hyena
219.2,Spotted hyena
223.4,Spotted hyena
226.3,Spotted hyena
231.2,Spotted hyena
233.7,Spotted hyena
254.2,Spotted hyena
261,Spotted hyena
264.5,Spotted hyena
267.2,Spotted hyena
267.2,Spotted hyena
277.4,Spotted hyena
283.2,Spotted hyena
293.3,Spotted hyena
297.8,Spotted hyena
299.5,Spotted hyena
300,Spotted hyena
304.8,Spotted hyena
305.3,Spotted hyena
306.5,Spotted hyena
340.5,Spotted hyena
342.6,Spotted hyena
347.3,Spotted hyena
348.9,Spotted hyena
354.4,Spotted hyena
362,Spotted hyena
366.5,Spotted hyena
366.5,Spotted hyena
384.2,Spotted hyena
398.7,Spotted hyena
402.7,Spotted hyena
433.6,Spotted hyena
438.9,Spotted hyena
438.9,Spotted hyena
458.9,Spotted hyena
462.6,Spotted hyena
470.2,Spotted hyena
476.5,Spotted hyena
477.6,Spotted hyena
482.2,Spotted hyena
485.8,Spotted hyena
492.1,Spotted hyena
500.4,Spotted hyena
533.1666667,Spotted hyena
540.2333333,Spotted hyena
562,Spotted hyena
584.3,Spotted hyena
594.7166667,Spotted hyena
597.5333333,Spotted hyena
600.35,Spotted hyena
603.1666667,Spotted hyena
605.9833333,Spotted hyena
611.1555556,Spotted hyena
613.5111111,Spotted hyena
615.8666667,Spotted hyena
618.2222222,Spotted hyena
620.5777778,Spotted hyena
622.9333333,Spotted hyena
625.2888889,Spotted hyena
627.6444444,Spotted hyena
635.88,Spotted hyena
641.76,Spotted hyena
647.64,Spotted hyena
653.52,Spotted hyena
665.8666667,Spotted hyena
672.3333333,Spotted hyena
683.025,Spotted hyena
687.25,Spotted hyena
691.475,Spotted hyena
2.9,Lion
2.9,Lion
2.9,Lion
2.9,Lion
2.9,Lion
4.9,Lion
4.9,Lion
33.3,Lion
37.9,Lion
117.8,Lion
119.7,Lion
119.7,Lion
119.7,Lion
119.7,Lion
122.4,Lion
131.8,Lion
151,Lion
189.6,Lion
196.1,Lion
213.5,Lion
213.5,Lion
227.5,Lion
227.5,Lion
251.2,Lion
255,Lion
256.7,Lion
328.3,Lion
360.5,Lion
364.1,Lion
369.1,Lion
369.3,Lion
400.4,Lion
411.7,Lion
436.7,Lion
436.7,Lion
436.7,Lion
458.9,Lion
458.9,Lion
461.4,Lion
474.8,Lion
474.8,Lion
479.4,Lion
486.6,Lion
486.6,Lion
488.9,Lion
488.9,Lion
488.9,Lion
488.9,Lion
490.5,Lion
497.7,Lion
519.6,Lion
521.7,Lion
553.18,Lion
559.06,Lion
564.94,Lion
570.82,Lion
595.28,Lion
598.66,Lion
602.04,Lion
605.42,Lion
639.8,Lion
649.6,Lion
683.025,Lion
687.25,Lion
691.475,Lion
3.8,Leopard
11.4,Leopard
11.4,Leopard
28.3,Leopard
34.8,Leopard
42,Leopard
45.4,Leopard
77.9,Leopard
79.3,Leopard
81.5,Leopard
81.5,Leopard
83.3,Leopard
94.7,Leopard
106.1,Leopard
108.8,Leopard
108.8,Leopard
111,Leopard
111.7,Leopard
113.2,Leopard
147.4,Leopard
155.8,Leopard
188.8,Leopard
205.1,Leopard
222.5,Leopard
223.8,Leopard
224.8,Leopard
257.3,Leopard
260.1,Leopard
266.9,Leopard
275.8,Leopard
277.4,Leopard
291.5,Leopard
295,Leopard
301.3,Leopard
305.3,Leopard
318.7,Leopard
321.3,Leopard
326,Leopard
332.8,Leopard
341.6,Leopard
345.8,Leopard
350.4,Leopard
355.5,Leopard
363.1,Leopard
364.9,Leopard
370.2,Leopard
373.2,Leopard
373.2,Leopard
376.6,Leopard
404.3,Leopard
429.5,Leopard
431.2,Leopard
431.4,Leopard
436.8,Leopard
429,Leopard
429,Leopard
429,Leopard
440.8,Leopard
440.8,Leopard
440.8,Leopard
440.8,Leopard
453.6,Leopard
461.4,Leopard
466.2,Leopard
478.7,Leopard
480.7,Leopard
481.7,Leopard
497.7,Leopard
531.4,Leopard
536.7,Leopard
542,Leopard
550.975,Leopard
554.65,Leopard
558.325,Leopard
562,Leopard
565.675,Leopard
569.35,Leopard
573.025,Leopard
580.5,Leopard
584.3,Leopard
588.1,Leopard
594.7166667,Leopard
597.5333333,Leopard
600.35,Leopard
603.1666667,Leopard
605.9833333,Leopard
615.8666667,Leopard
622.9333333,Leopard
635.88,Leopard
641.76,Leopard
647.64,Leopard
653.52,Leopard
663.28,Leopard
667.16,Leopard
671.04,Leopard
674.92,Leopard
681.6166667,Leopard
684.4333333,Leopard
687.25,Leopard
690.0666667,Leopard
692.8833333,Leopard
107.5,Cheetah
309.6,Cheetah
533.1666667,Cheetah
540.2333333,Cheetah
596.125,Cheetah
600.35,Cheetah
604.575,Cheetah
619.4,Cheetah
684.4333333,Cheetah
690.0666667,Cheetah
7.5,Wild dog
7.5,Wild dog
7.5,Wild dog
7.5,Wild dog
8.3,Wild dog
8.3,Wild dog
8.3,Wild dog
8.3,Wild dog
8.3,Wild dog
8.3,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
48.5,Wild dog
98.3,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
98.7,Wild dog
122.5,Wild dog
122.5,Wild dog
180.6,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
281.1,Wild dog
314.4,Wild dog
314.4,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
350.2,Wild dog
375.1,Wild dog
375.1,Wild dog
375.1,Wild dog
375.1,Wild dog
375.1,Wild dog
375.1,Wild dog
384.2,Wild dog
386.3,Wild dog
386.3,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
406.8,Wild dog
528.22,Wild dog
530.34,Wild dog
532.46,Wild dog
534.58,Wild dog
536.7,Wild dog
538.82,Wild dog
540.94,Wild dog
543.06,Wild dog
545.18,Wild dog
557.1,Wild dog
566.9,Wild dog
613.04,Wild dog
617.28,Wild dog
621.52,Wild dog
625.76,Wild dog
639.8,Wild dog
649.6,Wild dog
661.34,Wild dog
663.28,Wild dog
665.22,Wild dog
667.16,Wild dog
669.1,Wild dog
671.04,Wild dog
672.98,Wild dog
674.92,Wild dog
676.86,Wild dog
